trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,execution_status,execution_note,min_order_shares,strategy_name,strategy_stage,buy_zone,stop_loss,target_price
2026-06-29,002323,*ST雅博,1.37,5.38,4.1,1.14,2906000000.0,60.65,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 -0.38 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,1.33-1.36,1.29,1.46
2026-06-29,603477,巨星农牧,14.55,9.98,3.72,1.62,7609000000.0,45.34,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 0.02 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,14.17-14.42,13.71,15.31
2026-06-29,002208,合肥城建,18.38,9.99,14.45,1.35,14765000000.0,42.07,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 0.01 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,17.90-18.21,17.31,19.34
2026-06-29,600488,津药药业,4.84,10.0,8.61,0.88,5285000000.0,23.1,高,C,WATCH,LIMIT_REVIEW,1-3个交易日,BLOCKED_LIMIT_UP,距离涨停阈值仅 0.00 个百分点，按难以买入处理,100,涨停后承接复盘,POST_LIMIT_REVIEW,4.71-4.80,4.56,5.09
2026-06-29,600619,海立股份,15.74,4.24,7.67,2.41,16894000000.0,100.0,低,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,15.55-15.67,15.19,16.76
2026-06-29,002129,TCL中环,11.69,4.47,13.47,1.9,47264000000.0,100.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,11.48-11.62,11.16,12.45
2026-06-29,600460,士兰微,52.13,3.47,15.0,1.45,86748000000.0,100.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,51.19-51.80,49.78,55.52
2026-06-29,300223,北京君正,241.31,3.47,14.07,1.18,116713000000.0,100.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,236.97-239.79,230.45,257.0
2026-06-29,000799,酒鬼酒,44.25,6.27,7.24,1.16,14378000000.0,100.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,43.45-43.97,42.26,46.55
2026-06-29,600396,华电辽能,16.1,4.75,14.6,1.14,23711000000.0,100.0,中,A,TRADE,BUY_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,15.81-16.00,15.38,17.15
