trade_date,code,name,price,pct_chg,turnover,volume_ratio,market_cap,score,risk_level,tier,action,recommendation_type,holding_period,execution_status,execution_note,min_order_shares,strategy_name,strategy_stage,primary_theme,theme_rank,theme_leader_role,confirmation_status,buy_zone,stop_loss,target_price
2026-07-02,603598,引力传媒,18.65,6.57,0.18,1.0,0.0,78.0,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,传媒互联网,2,前排核心,STANDARD_OPEN_CONFIRM,18.31-18.53,17.81,19.62
2026-07-02,300748,金力永磁,32.0,3.39,0.06,1.0,0.0,75.41,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,,0,,STANDARD_OPEN_CONFIRM,31.42-31.80,30.56,34.08
2026-07-02,002698,博实股份,13.69,3.09,0.13,1.0,0.0,75.41,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,,0,,STANDARD_OPEN_CONFIRM,13.44-13.60,13.07,14.58
2026-07-02,600909,华安证券,12.49,2.21,0.2,1.0,0.0,75.41,中,B,WATCH,WATCH_CANDIDATE,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,,0,,STANDARD_OPEN_CONFIRM,12.27-12.41,11.93,13.3
2026-07-02,002050,三花智控,44.78,1.29,0.02,1.0,0.0,69.04,中,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,机器人/汽车链,0,普通跟踪,THEME_OPEN_CONFIRM,43.97-44.50,42.76,47.69
2026-07-02,601689,拓普集团,57.7,1.26,0.02,1.0,0.0,68.8,中,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,机器人/汽车链,0,普通跟踪,THEME_OPEN_CONFIRM,56.66-57.34,55.1,61.45
2026-07-02,600499,科达制造,14.22,0.99,0.0,1.0,0.0,68.61,中,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,机器人/汽车链,0,普通跟踪,THEME_OPEN_CONFIRM,13.96-14.13,13.58,15.14
2026-07-02,000925,众合科技,10.27,0.0,0.19,1.0,0.0,64.6,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,5,前排核心,THEME_OPEN_CONFIRM,10.00-10.18,9.67,10.94
2026-07-02,600011,华能国际,7.64,0.66,0.01,1.0,0.0,63.94,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,电力/新能源/电网,3,前排核心,STANDARD_OPEN_CONFIRM,7.44-7.57,7.2,8.14
2026-07-02,000630,铜陵有色,6.33,0.64,0.03,1.0,0.0,63.78,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,半导体/PCB/通信算力,5,普通跟踪,THEME_OPEN_CONFIRM,6.17-6.27,5.96,6.74
2026-07-02,601369,陕鼓动力,9.05,0.0,0.0,1.0,0.0,60.6,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,机器人/汽车链,0,,THEME_OPEN_CONFIRM,8.81-8.97,8.53,9.64
2026-07-02,002472,双环传动,43.43,1.71,0.06,1.0,0.0,57.44,高,C,AVOID,RADAR_ONLY,1-3个交易日,BUYABLE,未贴近涨停价，按限价单可执行候选处理,100,强势回踩/放量突破,ENTRY_SETUP,,0,,STANDARD_OPEN_CONFIRM,42.30-43.03,40.91,46.25
